DateTime,WindSpeed_1m[m/s],WindSpeed_3m[m/s],WindSpeed_7m[m/s],WindSpeed_13m[m/s],Temp_1m[degC],Temp_3m[degC],Temp_7m[degC],Temp_13m[degC],RH_1m[%],RH_3m[%],RH_7m[%],RH_13m[%],PAR_1m[umol/m^2 s],PAR_3m[umol/m^2 s],PAR_7m[umol/m^2 s],PAR_13m[umol/m^2 s],GlobalRad_1m[W/m^2],GlobalRad_3m[W/m^2],GlobalRad_7m[W/m^2],GlobalRad_13m[W/m^2],Temp[F],RH[%],CO2_MNT[ppm],CO2_LL1m[ppm],CO2_LL13m[ppm],Ph[Ph],Temp[degC],Sal[psu],ODO[mgpl],AirPress_hPa,LEO-W_4_0_1,LEO-W_4_0_2,LEO-W_4_0_3,LEO-W_4_0_4,LEO-W_10_-2_1,LEO-W_10_-2_2,LEO-W_10_-2_3,LEO-W_10_-2_4,LEO-W_10_-2_5,LEO-W_10_2_1,LEO-W_10_2_2,LEO-W_10_2_3,LEO-W_10_2_4,LEO-W_10_2_5,LEO-W_17_0_1,LEO-W_17_0_2,LEO-W_17_0_3,LEO-W_17_0_4,LEO-W_17_0_5,LEO-W_24_0_1,LEO-W_24_0_2,LEO-W_24_0_3,LEO-W_24_0_4,LEO-W_24_0_5,H2O_in(mmol/mol),H2O_out(mmol/mol),CO2_in(ppm),CO2_out(ppm),Ux(m/s),Uy(m/s),Uz(m/s),Sound(m/s),ShortRadIn[W/m^2],ShortRadOut[W/m^2],LongRadIn[W/m^2],LongRadOut[W/m^2],PyrgeoTemp[degK],CO2_desert[ppm]
2025-02-01 00:00:00,0.0,0.0,0.23411675,0.00852925,28.1270655,28.7483935,30.03871725,29.216855250000002,56.400733,49.69844525,45.666388749999996,50.1504695,-3.0606055000000003,-5.03307525,-5.279634,-5.64947225,-5.4440065,-5.279634,-5.32072725,-5.4029135,78.7874608039856,64.05589723587036,2015.5554809570312,2011.653076171875,510.2107238769531,7.983525276184082,25.095947265625,32.58674430847168,6.107394218444824,887.4621253863636,11.391707075,79.084774125,83.574118,12.529937174999999,80.1187379,18.944996925,83.733985425,10.910990925,17.624633025,79.497722475,81.23758355,83.36802387499999,83.3491152,61.222328025,79.4817759,11.1270419,34.8302506,71.526169925,76.88092957500001,15.849780275,17.83804625,11.73711905,11.6307124,11.829163574999999,,,,,0.0,0.0,0.0,0.0,-0.7978495416666668,0.5102572916666667,294.16906820833333,296.4655182083333,300.2440706666667,336.2350616455078
2025-02-01 01:00:00,0.0,0.0,0.3341165,0.00852925,28.11062825,28.69990325,30.0600855,29.090288,56.16403675,49.3023075,45.30065975,49.97623475,-3.3893505,-5.07416825,-5.4029135,-5.772751749999999,-5.27963425,-5.4029135,-5.320727,-5.238541,78.32811975479126,63.89797639846802,2015.4925537109375,2011.6005859375,510.34710693359375,7.981473326683044,25.09907627105713,32.58954048156738,6.101907134056091,887.3773282967032,11.328786375,78.880979525,83.397776225,12.414849575000002,79.897228125,20.25969395,83.601343675,10.815747,17.493914275,79.311057925,81.175317775,83.1247479,83.48356335,61.65804537500001,79.63520327500001,11.18731945,21.1955022,71.364797875,76.8871174,15.844855325000001,17.696805825000002,11.43108205,11.453569425000001,11.716236050000001,-4994.706,-4994.5405,-4774.85,-4774.6,0.0,0.0,0.0,0.0,-0.8302437916666667,0.4592873333333333,292.99614241666666,295.20603962499996,300.07865308333334,331.9024658203125
2025-02-01 02:00:00,0.0,0.0,0.41744975,0.00852925,28.09008175,28.8141425,30.14062825,29.12973775,56.24047,49.1428665,44.80507675,49.801178,-2.85514,-5.11526175,-5.15635475,-5.608379,-5.40291325,-5.1974475,-5.36182025,-5.4029135,78.4211483001709,63.705870628356934,2015.5134887695312,2011.62158203125,509.26658630371094,7.9928306341171265,25.099076271057125,32.5899543762207,6.072826385498047,886.811245019802,11.24247115,79.401664375,83.621040525,12.651639675,80.1685959,20.7516462,83.76743535,10.9320101,17.5768397,79.9162994,81.13993995,83.35095455000001,83.66749465000001,61.844537875,79.505708175,11.130670125,14.032588675,71.50062625000001,76.97021307499999,15.996553650000001,17.724589925,11.745784575,11.604867575,11.862300575,,,,,0.0,0.0,0.0,0.0,-0.675556875,0.5949312916666667,294.459997875,296.26428537500004,300.14919175,337.4204864501953
2025-02-01 03:00:00,0.0,0.0,0.16745,0.0,28.24212625,29.02371725,30.307466249999997,29.32698475,55.6881785,48.58646575,44.761517749999996,49.42805275,-2.73186075,-5.0330755,-5.320727,-5.4440065,-5.279634,-5.23854075,-5.238541,-5.3618205,78.53882503509521,63.53594636917114,2015.5136108398438,2011.6005859375,511.2492828369141,7.991347074508667,25.100640773773193,32.59219264984131,6.065973997116089,886.3943975368421,11.614459,80.00198395,83.407800575,13.503233474999998,80.654830025,20.814250949999998,84.2897249,11.46946785,18.06222005,80.6694964,81.35361225,84.1663819,83.810498325,62.397542550000004,80.21191915,11.757362225,14.3688277,72.31967130000001,77.526115875,16.679139525,18.518597525,12.284572525,12.260681325,12.311272175,-4993.93,-4993.835,-4775.15,-4775.3,0.0,0.0,0.0,0.0,-0.750883,0.6325047916666667,295.13782125,296.9903073333333,300.4195819166667,332.29058837890625
2025-02-01 04:00:00,0.0,0.0,0.328921,0.0,28.308697000000002,29.006458000000002,30.28116675,29.38698025,55.3175185,48.344016249999996,44.48208475,49.2365585,-2.814047,-5.1152615,-5.19744775,-5.7727515,-5.23854075,-5.279634,-5.279634,-5.4850995000000005,78.47311019897461,63.25535726547241,2015.5029907226562,2011.611083984375,512.5081481933594,7.981047868728638,25.100640773773186,32.5916109085083,6.041439890861511,886.3192446136363,11.96537205,80.466504425,83.853635,13.871995175,80.954477975,21.144585725000002,84.57095305,11.813265900000001,18.416682549999997,81.00902655,81.648197275,84.41746847499999,84.353013925,62.683673775,80.513810175,11.9581851,14.75791825,72.158220425,77.81399760000001,16.979288425,18.972580175,12.457334875,12.563904425,12.646302375,,,,,0.0,0.0,0.0,0.0,-0.7839970833333334,0.6432782499999999,295.49429641666666,297.54895949999997,300.53539274999997,339.5081024169922
2025-02-01 05:00:00,0.0,0.0,0.24745,0.0,28.28732875,29.033579500000002,30.3469155,29.28013825,55.04959125,47.85993925,43.9947205,48.83548975,-2.937326,-5.15635475,-5.15635475,-5.608379,-5.279634,-5.279634,-5.4440065,-5.4440065,78.28506708145142,62.90633296966553,2015.513427734375,2011.642578125,514.4489135742188,7.988192558288574,25.100640773773186,32.59305381774902,6.021700978279114,885.7570470786517,12.407517525,80.223913425,84.7394305,13.397605899999999,81.09363175000001,21.221298075,84.749388025,11.85639835,18.61927385,80.60287015,82.424444925,84.16856472499998,84.720963875,62.765601825,80.731885775,12.119558575,14.962429750000002,72.519551525,78.01467192499999,17.134347825,19.229649325,12.67823995,12.676672025,12.791406499999999,-4992.975,-4993.025,-4774.85,-4774.7,0.0,0.0,0.0,0.0,-0.8286882083333333,0.54610925,295.987479125,297.84543370833336,300.627364875,336.5182800292969
2025-02-01 06:00:00,0.0,0.0,0.39744999999999997,0.0,28.33088725,29.0393325,30.23842975,29.30725975,54.86138475,47.4473645,44.03581375,48.8617895,-3.3893505,-5.36182025,-5.238541,-5.854938,-5.36182025,-5.320727,-5.48509975,-5.32072725,78.36278200149536,62.73456048965454,2015.5029907226562,2011.62158203125,514.6272430419922,7.987226486206055,25.099076271057125,32.6546106338501,6.009275436401367,886.2123341444445,12.516529625,80.333810075,84.72315054999999,13.8206855,81.188406375,21.266936425,84.83571405,12.0951413,18.7585117,80.64869089999999,82.268099875,84.41487507500001,84.57194402500001,62.845251925,80.8106089,12.54344965,15.088520725,72.677380425,78.1203385,17.336834075000002,19.298570425,12.904808499999998,12.78664285,12.887853625,,,,,0.0,0.0,0.0,0.0,-0.8197955,0.5993743333333333,296.33773233333335,298.21594375,300.71015458333335,338.0709228515625
2025-02-01 07:00:00,0.0,0.0,0.40078325000000004,0.0,27.907628250000002,28.495259750000002,29.4272515,28.66374175,55.3405305,48.51742925,45.4346235,49.754332,-2.0332775,-2.85514,0.5555889999999999,4.04850375,-4.581051,-3.34825725,-1.9921845,-0.96485625,78.01239347457886,62.60194540023804,2015.544921875,2011.642578125,512.0360565185547,7.957865238189697,25.097511768341064,32.72280406951904,5.997176647186279,886.6134689223301,14.828302575,82.45811305,87.02067392500001,16.0610567,83.7337096,23.765843824999997,87.56637895,15.126914199999998,20.73406355,82.7296065,84.982066425,87.19797100000001,87.285232,65.580443575,82.89623705,14.5683777,17.388235625,74.5364722,79.557388425,20.05614515,21.942943925,15.643071675000002,15.887544049999999,15.937808624999999,-4993.12,-4992.95,-4774.9,-4774.65,0.0,0.0,0.0,0.0,2.4019000416666665,3.1802269583333334,294.7915447916667,296.65803312500003,300.3351769166666,336.3504638671875
2025-02-01 08:00:00,0.0,0.0,0.13411675,0.0,27.24274175,27.57230825,28.04570125,27.955296,55.911725000000004,50.85480575,49.61708125,52.1089675,4.41834225,16.91065025,45.963485,81.0159155,1.6240100000000002,11.4452655,23.48554925,31.046682999999998,77.6858286857605,63.41462230682373,2015.5449829101562,2011.642578125,485.41099548339844,7.959041595458984,25.100640773773193,32.84851360321045,6.01826012134552,886.950422511111,32.965896275,100.417335125,107.28966540000002,41.743797925,111.922203,47.545061399999994,111.48631774999998,47.242988725,38.0938845,103.36961685000001,112.06082735,117.934504625,113.3773439,90.5765194,96.05929330000001,28.824742925,31.62524725,89.2500451,90.835325,39.3232479,42.44680395,35.12302745,52.4061243,48.05882925,,,,,0.0,0.0,0.0,0.0,36.6610125,23.179410666666666,299.15073054166663,300.49233358333333,300.2875299583333,336.32945251464844
2025-02-01 09:00:00,0.0,0.0,0.03705825,0.0,28.004608,28.27582275,28.738531000000002,28.897150500000002,58.59181825,53.735433,53.40504475,56.29389125,13.376642,46.00457825,149.025027,231.17017125,9.0207715,30.92340375,74.3999235,85.5772515,78.36391401290894,66.96159791946411,2015.4715576171875,2011.548095703125,442.71437072753906,7.960882902145386,25.095947265625,32.850616455078125,6.089470863342285,887.0385195490196,75.550667425,160.096753525,155.670282275,94.285580725,147.80422925,85.555525025,165.6144135,89.4173135,74.30170515,158.45377185,179.3103973,149.101601925,138.8796622,111.69553357500001,109.45712765,42.282752875,70.84280229999999,102.77034597500001,104.338189775,62.33640859999999,69.098447375,94.6608604,108.505976325,90.237630575,-4992.62,-4992.675,-4775.9,-4776.05,0.0,0.0,0.0,0.0,98.4687285,47.52747912499999,303.23010179166664,301.7011757083333,300.32140291666667,302.5288543701172
